1-cysPrx_C	80,189,172
COX4_pro	225,80,63
COX4_pro_2	255,255,255
COX5A	255,255,255
COX5B	255,255,255
COX6A	255,255,255
COX6B	255,255,255
COX6C	255,255,255
COX7B	255,255,255
COX7C	255,255,255
COX7a	255,255,255
COX8	255,255,255
COXG	63,211,120
COX_ARM	255,255,255
CO_deh_flav_C	68,181,100
CO_dh	255,255,255
COesterase	204,82,64
CP12	255,255,255
CP2	255,255,255
CPBP	150,86,216
CPCFC	255,255,255
CPDase	255,255,255
CPG4	255,255,255
CPL	255,255,255
CPP1-like	255,255,255
CPSF100_C	255,255,255
CPSF73-100_C	255,255,255
CPSF_A	255,255,255
CPSase_L_D2	190,97,205
CPSase_L_D3	217,64,78
CPSase_sm_chain	183,185,63
CPT	172,201,89
CPT_N	255,255,255
CPV_Polyhedrin	255,255,255
CPW_WPC	255,255,255
CP_ATPgrasp_1	255,255,255
CP_ATPgrasp_2	255,255,255
CR6_interact	255,255,255
CRA	255,255,255
CRAL_TRIO	86,127,210
CRAL_TRIO_2	255,255,255
CRAL_TRIO_N	78,214,98
CRAM_rpt	255,255,255
CRA_rpt	255,255,255
CRCB	225,160,95
CRC_subunit	255,255,255
CREPT	255,255,255
CRF	255,255,255
CRF-BP	255,255,255
CRF1	255,255,255
CRIC_ras_sig	255,255,255
CRIM	255,255,255
CRISPR_Cas2	187,51,62
CRISPR_Cas6	255,255,255
CRISPR_Cas9_WED	229,104,175
CRISPR_Cse1	224,77,189
CRISPR_Cse2	177,201,82
CRISPR_assoc	196,187,97
CRM1_C	255,255,255
CRPA	255,255,255
CRPV_capsid	255,255,255
CRR7	255,255,255
CRS1_YhbY	255,255,255
CRT-like	255,255,255
CRT10	255,255,255
CReP_N	255,255,255
CS	255,255,255
CSD	87,72,181
CSD2	214,228,85
CSF-1	255,255,255
CSG2	255,255,255
CSM2	255,255,255
CSN8_PSD8_EIF3K	255,255,255
CSRNP_N	255,255,255
CSS-motif	126,95,216
CST-I	200,60,176
CSTF1_dimer	255,255,255
CSTF2_hinge	255,255,255
CSTF_C	255,255,255
CT47	255,255,255
CTC1	255,255,255
CTC1_2	255,255,255
CTD	255,255,255
CTD_bind	255,255,255
CTF_NFI	255,255,255
CTI	255,255,255
CTK3	255,255,255
CTK3_C	255,255,255
CTNNB1_binding	255,255,255
CTNNBL	255,255,255
CTP-dep_RFKase	255,255,255
CTP_synth_N	255,255,255
CTP_transf_1	98,187,226
CTP_transf_3	198,69,151
CTP_transf_like	110,215,57
CTU2	255,255,255
CTV_P13	255,255,255
CTV_P23	255,255,255
CTV_P33	255,255,255
CTV_P6	255,255,255
CTX_RstB	255,255,255
CTXphi_pIII-N1	255,255,255
CT_A_B	209,84,216
CT_C_D	122,89,192
CUB	255,255,255
CUB_2	255,255,255
CUE	255,255,255
CUT	255,255,255
CUTL	255,255,255
CVNH	255,255,255
CWC25	255,255,255
CW_7	255,255,255
CW_binding_1	185,86,176
CW_binding_2	255,255,255
CX	255,255,255
CX9C	255,255,255
CXCL17	255,255,255
CXCR4_N	255,255,255
CXCXC	255,255,255
CYLD_phos_site	255,255,255
CYSTM	255,255,255
CYTH	184,209,78
CYTL1	255,255,255
CYYR1	255,255,255
CZB	255,255,255
C_GCAxxG_C_C	255,255,255
C_Hendra	255,255,255
C_LFY_FLO	255,255,255
C_tripleX	255,255,255
CaATP_NAI	73,62,178
CaKB	255,255,255
CaM-KIIN	255,255,255
CaMBD	255,255,255
CaMKII_AD	255,255,255
CaM_bdg_C0	255,255,255
CaM_binding	255,255,255
Ca_chan_IQ	255,255,255
Ca_hom_mod	255,255,255
Caa3_CtaG	121,77,200
Cache_3-Cache_2	255,255,255
CactinC_cactus	255,255,255
Cactin_mid	255,255,255
Cad	129,86,223
Cadherin	255,255,255
Cadherin-like	255,255,255
Cadherin_2	255,255,255
Cadherin_3	255,255,255
Cadherin_4	216,100,62
Cadherin_5	189,84,113
Cadherin_C	255,255,255
Cadherin_C_2	255,255,255
Cadherin_pro	255,255,255
Cadherin_tail	255,255,255
Caenor_Her-1	255,255,255
Caerin_1	255,255,255
Caf4	255,255,255
Cag12	255,255,255
CagA	255,255,255
CagD	255,255,255
CagE_TrbE_VirB	185,101,220
CagS	255,255,255
CagX	219,189,104
CagY_I	255,255,255
CagY_M	255,255,255
CagZ	255,255,255
CaiF_GrlA	255,255,255
Calc_CGRP_IAPP	255,255,255
Calci_bind_CcbP	255,255,255
Calcipressin	255,255,255
Calcyon	255,255,255
Caldesmon	255,255,255
Caleosin	255,255,255
Calici_MSP	255,255,255
Calici_PP_N	255,255,255
Calici_coat	255,255,255
Calici_coat_C	255,255,255
Calmodulin_bind	255,255,255
Calpain_III	255,255,255
Calpain_inhib	255,255,255
Calpain_u2	255,255,255
Calponin	255,255,255
Calreticulin	56,221,109
Calsarcin	255,255,255
Calsequestrin	255,255,255
Calx-beta	255,255,255
Calycin_like	255,255,255
CamS	255,255,255
Campylo_MOMP	255,255,255
Candida_ALS	255,255,255
Candida_ALS_N	255,255,255
Caprin-1_C	255,255,255
Caps_assemb_Wzi	58,137,189
Caps_synth	199,186,82
Caps_synth_CapC	255,255,255
Caps_synth_GfcC	93,196,216
Capsid-VNN	255,255,255
Capsid_N	255,255,255
Capsid_NCLDV	255,255,255
Capsid_VP7	255,255,255
Capsule_synth	183,215,64
CarA_N	144,63,219
CarD_CdnL_TRCF	216,93,82
CarS-like	255,255,255
Carb_anhydrase	47,185,72
Carb_bind	255,255,255
Carb_kinase	187,173,78
Carbam_trans_C	183,87,154
Carbam_trans_N	146,218,61
CarbopepD_reg_2	198,51,128
Carboxyl_trans	180,136,60
CarboxypepD_reg	201,63,96
CarbpepA_inh	255,255,255
Carbpep_Y_N	255,255,255
Carcinustatin	255,255,255
Carla_C4	255,255,255
Carmo_coat_C	255,255,255
Carn_acyltransf	97,225,203
Carot_N	255,255,255
Caroten_synth	65,214,190
Cas1_AcylT	255,255,255
Cas3_C	157,191,63
Cas6	255,255,255
Cas6b_C	255,255,255
Cas9-BH	255,255,255
Cas9_PI	255,255,255
Cas9_PI2	92,179,88
Cas9_REC	255,255,255
Cas_APE2256	255,255,255
Cas_CT1975	65,71,216
Cas_CXXC_CXXC	255,255,255
Cas_Cas02710	255,255,255
Cas_Cas1	84,220,92
Cas_Cas2CT1978	136,54,185
Cas_Cas4	72,214,157
Cas_Cas5d	93,145,206
Cas_Cas6	255,255,255
Cas_Cas7	57,205,192
Cas_Cmr3	255,255,255
Cas_Cmr5	255,255,255
Cas_Csa4	255,255,255
Cas_Csa5	255,255,255
Cas_Csd1	67,221,160
Cas_Csm6	255,255,255
Cas_Csn2	255,255,255
Cas_Csx8	255,255,255
Cas_Csx9	255,255,255
Cas_Csy1	255,255,255
Cas_Csy2	255,255,255
Cas_Csy3	255,255,255
Cas_Csy4	255,255,255
Cas_DxTHG	255,255,255
Cas_GSU0053	255,255,255
Cas_GSU0054	255,255,255
Cas_NE0113	255,255,255
Cas_St_Csn2	255,255,255
Cas_TM1802	255,255,255
Cas_VVA1548	255,255,255
Cas_csx3	255,255,255
Casc1	255,255,255
Casc1_N	255,255,255
Casein	255,255,255
Casein_kappa	255,255,255
Caskin-Pro-rich	255,255,255
Caskin-tail	255,255,255
Caskin1-CID	255,255,255
Cass2	255,255,255
Cast	255,255,255
Castor_Poll_mid	225,107,224
Catalase	191,89,74
Catalase-rel	79,179,148
Catalase_C	90,195,163
Cathelicidins	255,255,255
CathepsinC_exc	255,255,255
Cation_ATPase	200,58,79
Cation_ATPase_C	76,203,161
Cation_ATPase_N	174,102,225
Cation_efflux	151,84,211
Caud_tail_N	255,255,255
Caudal_act	255,255,255
Caudo_TAP	255,255,255
Caudo_bapla16	255,255,255
Caudo_bapla_RBP	255,255,255
Cauli_AT	255,255,255
Cauli_DNA-bind	255,255,255
Cauli_VI	255,255,255
Caveolin	255,255,255
CbbQ_C	255,255,255
CbeA_antitoxin	255,255,255
CbiA	143,82,224
CbiC	90,99,215
CbiD	62,227,171
CbiG_C	215,171,76
CbiG_N	105,203,69
CbiG_mid	255,255,255
CbiJ	228,98,187
CbiK	255,255,255
CbiM	84,193,129
CbiN	68,81,221
CbiQ	217,92,216
CbiX	93,58,208
CbiZ	99,185,47
CblD	255,255,255
Cbl_N	255,255,255
Cbl_N2	255,255,255
Cbl_N3	255,255,255
CbtA	181,124,50
CbtA_toxin	255,255,255
CbtB	84,178,152
CcdA	54,114,192
CcdB	255,255,255
Ccdc124	255,255,255
CclA_1	255,255,255
CcmB	255,255,255
CcmD	255,255,255
CcmE	255,255,255
CcmF_C	255,255,255
CcmH	255,255,255
CdAMP_rec	255,255,255
Cdc6_C	255,255,255
Cdd1	255,255,255
CdhC	255,255,255
CdhD	255,255,255
CdiA_C	141,75,224
CdiA_C_tRNase	59,189,90
CdiI	255,255,255
CdiI_2	225,144,58
CdiI_3	110,68,180
CdiI_4	197,190,89
CdiI_N	185,179,50
Cecropin	255,255,255
CedA	255,255,255
CelD_N	217,61,103
Cellsynth_D	255,255,255
Cellulase	189,82,188
Cellulase-like	255,255,255
Cellulose_synt	210,94,179
CemA	188,114,72
Cementoin	255,255,255
Cep3	255,255,255
Cep57_CLD	255,255,255
Cep57_CLD_2	255,255,255
Cep57_MT_bd	255,255,255
Ceramidase	255,255,255
Ceramidase_alk	255,255,255
Ceramidse_alk_C	255,255,255
Cerato-platanin	255,255,255
CesT	255,255,255
CfAFP	255,255,255
Cg6151-P	255,255,255
Cgr1	255,255,255
CgtA	90,96,199
ChAPs	255,255,255
ChW	67,171,185
ChaB	221,180,93
ChaC	190,220,58
Chal_sti_synt_C	139,212,63
Chal_sti_synt_N	60,181,161
Chalcone	255,255,255
Chalcone_2	255,255,255
Chalcone_3	255,255,255
Channel_Tsx	255,255,255
ChapFlgA	255,255,255
ChapFlgA_N	59,227,79
Chaperone_III	255,255,255
CheB_methylest	255,255,255
CheC	255,255,255
CheD	255,255,255
CheF-arch	255,255,255
CheR	193,68,57
CheR_N	255,255,255
CheW	141,221,87
CheX	255,255,255
CheY-binding	255,255,255
CheZ	255,255,255
Chi-conotoxin	255,255,255
ChiC	89,186,86
ChiW_Ig_like	88,200,148
Chibby	255,255,255
Chisel	255,255,255
Chitin_bind_1	255,255,255
Chitin_bind_4	255,255,255
Chitin_synth_1	255,255,255
Chitin_synth_1N	255,255,255
Chitin_synth_2	255,255,255
ChitinaseA_N	255,255,255
ChlI	192,77,61
ChlamPMP_M	255,255,255
Chlam_OMP	255,255,255
Chlam_OMP3	255,255,255
Chlam_OMP6	255,255,255
Chlam_PMP	255,255,255
Chlam_vir	255,255,255
Chlamy_scaf	255,255,255
Chlor_dismutase	179,57,142
Chloroa_b-bind	255,255,255
Chlorophyllase	183,88,140
Chlorophyllase2	225,187,68
Chloroplast_duf	255,255,255
Chlorosome_CsmC	255,255,255
Chlorovi_GP_rpt	255,255,255
Chol_subst-bind	197,51,174
CholecysA-Rec_N	255,255,255
Choline_kin_N	255,255,255
Choline_kinase	211,229,96
Choline_sulf_C	255,255,255
Choline_transpo	255,255,255
Chon_Sulph_att	255,255,255
Chondroitinas_B	255,255,255
Chor_lyase	81,225,141
Chordopox_A13L	255,255,255
Chordopox_A15	255,255,255
Chordopox_A20R	255,255,255
Chordopox_A30L	255,255,255
Chordopox_A33R	255,255,255
Chordopox_A35R	255,255,255
Chordopox_E11	255,255,255
Chordopox_G2	255,255,255
Chordopox_G3	255,255,255
Chordopox_L2	255,255,255
Chordopox_RPO7	255,255,255
Chorein_N	223,70,168
Chorion_1	255,255,255
Chorion_2	255,255,255
Chorion_3	255,255,255
Chorion_S16	255,255,255
Chorismate_bind	188,116,88
Chorismate_synt	118,90,209
ChpA-C	97,98,208
ChpXY	255,255,255
Chromadorea_ALT	255,255,255
Chromate_transp	255,255,255
Chrome_Resist	255,255,255
Chromo	255,255,255
Chromo_shadow	255,255,255
Chromosome_seg	255,255,255
Chs7	255,255,255
ChuX_HutX	255,255,255
Churchill	255,255,255
CiPC	255,255,255
Ciart	255,255,255
Cid2	255,255,255
CinA	137,71,217
CinA_KH	93,224,150
Cir_Bir_Yir	255,255,255
Cir_N	255,255,255
Circo_capsid	255,255,255
CitF	255,255,255
CitG	255,255,255
CitMHS	75,203,220
CitMHS_2	255,255,255
CitT	255,255,255
CitX	255,255,255
Citrate_bind	255,255,255
Citrate_ly_lig	255,255,255
Citrate_synt	217,199,102
Citrus_P18	255,255,255
Class_IIIsignal	255,255,255
Clat_adaptor_s	255,255,255
Clathrin	255,255,255
Clathrin-link	255,255,255
Clathrin_H_link	255,255,255
Clathrin_bdg	255,255,255
Clathrin_lg_ch	255,255,255
Clathrin_propel	255,255,255
Claudin_2	255,255,255
Claudin_3	255,255,255
Clavanin	255,255,255
Clc-like	255,255,255
Cleaved_Adhesin	255,255,255
Clenterotox	255,255,255
Cloacin	255,255,255
Cloacin_immun	255,255,255
Closter_coat	255,255,255
Clostridium_P47	255,255,255
Clp1	255,255,255
ClpB_D2-small	190,198,67
ClpS	180,137,53
Clp_N	97,199,190
Clr2	255,255,255
Clr2_transil	255,255,255
Clr5	255,255,255
Cluap1	255,255,255
Clusterin	255,255,255
Cm_res_leader	255,255,255
Cmc1	255,255,255
CmcI	218,90,219
CmlA_N	154,102,228
Cmyb_C	255,255,255
Cna_B	255,255,255
Cnd1	255,255,255
Cnd1_N	255,255,255
Cnd2	255,255,255
Cnd3	255,255,255
Cnl2_NKP2	255,255,255
Cnn_1N	255,255,255
CnrY	255,255,255
CoA_binding	57,204,178
CoA_binding_2	212,69,78
CoA_binding_3	153,200,97
CoA_trans	106,96,228
CoA_transf_3	226,102,90
Co_AT_N	255,255,255
Coa1	255,255,255
CoaE	197,177,81
Coagulase	255,255,255
Coagulin	255,255,255
CoatB	255,255,255
Coat_F	255,255,255
Coat_X	255,255,255
Coatamer_beta_C	255,255,255
Coatomer_E	255,255,255
Coatomer_WDAD	77,183,145
Coatomer_b_Cpla	255,255,255
Coatomer_g_Cpla	255,255,255
CobA_CobO_BtuR	83,191,87
CobD_Cbib	184,228,63
CobN-Mg_chel	138,196,88
CobS	54,202,144
CobS_N	255,255,255
CobT	255,255,255
CobT_C	255,255,255
CobU	147,218,96
CobW_C	172,98,218
Cob_adeno_trans	53,94,194
Cobalamin_bind	255,255,255
Cobl	255,255,255
CodY	255,255,255
Codanin-1_C	255,255,255
CofC	181,97,82
CofD	99,70,224
Cofac_haem_bdg	255,255,255
Cofilin_ADF	119,84,183
Cohesin	255,255,255
Cohesin_HEAT	255,255,255
Cohesin_load	255,255,255
CoiA	255,255,255
Coiled	255,255,255
Coiled-coil_56	255,255,255
Coilin_N	255,255,255
ColG_sub	228,57,92
Col_cuticle_N	255,255,255
Coleoptericin	255,255,255
Colicin	49,186,118
Colicin-DNase	255,255,255
Colicin_D	255,255,255
Colicin_E5	255,255,255
Colicin_Ia	255,255,255
Colicin_K	255,255,255
Colicin_M	255,255,255
Colicin_Pyocin	255,255,255
Colicin_V	45,82,181
Colicin_im	255,255,255
Colicin_immun	255,255,255
Colipase	255,255,255
Colipase-like	255,255,255
Colipase_C	255,255,255
Collagen	95,207,131
Collagen_bind	255,255,255
Collagen_bind_2	255,255,255
Collagen_mid	255,255,255
Collar	76,212,168
Collectrin	255,255,255
ComA	255,255,255
ComC	94,149,201
ComFB	157,225,98
ComGF	255,255,255
ComGG	255,255,255
ComJ	226,214,112
ComK	255,255,255
ComP_DUS	255,255,255
ComR_TPR	219,105,146
ComS	255,255,255
ComX	171,183,48
ComZ	255,255,255
Com_YlbF	255,255,255
Comm	255,255,255
Como_LCP	255,255,255
Como_SCP	255,255,255
CompInhib_SCIN	255,255,255
Competence	168,54,200
Complex1_30kDa	202,97,148
Complex1_49kDa	130,223,85
Complex1_51K	84,180,118
Complex1_LYR	255,255,255
Complex1_LYR_1	255,255,255
Complex1_LYR_2	255,255,255
Con-6	255,255,255
Condensation	224,184,98
Condensin2nSMC	255,255,255
Connexin	255,255,255
Connexin40_C	255,255,255
Connexin43	255,255,255
Connexin50	255,255,255
Conotoxin	255,255,255
Conotoxin_I2	255,255,255
Cons_hypoth698	160,73,195
Cons_hypoth95	220,198,67
Consortin_C	255,255,255
CooC_C	255,255,255
CooT	255,255,255
CopB	97,212,118
CopC	172,94,217
CopD	94,216,110
CopG_antitoxin	255,255,255
CopK	255,255,255
Copine	255,255,255
Copper-bind	203,169,70
Copper-fist	255,255,255
Coprogen_oxidas	255,255,255
Coq4	208,65,67
Cor1	255,255,255
CorA	65,141,201
CorC_HlyC	60,114,228
Corazonin	255,255,255
Cornichon	255,255,255
Cornifin	255,255,255
Corona_3	255,255,255
Corona_5a	255,255,255
Corona_6B_7B	255,255,255
Corona_7	255,255,255
Corona_I	255,255,255
Corona_M	255,255,255
Corona_NS1	255,255,255
Corona_NS2	255,255,255
Corona_NS2A	255,255,255
Corona_NS3b	255,255,255
Corona_NS4	255,255,255
Corona_NS8	255,255,255
Corona_NSP4_C	255,255,255
Corona_RPol_N	255,255,255
Corona_S1	255,255,255
Corona_S2	255,255,255
Corona_nucleoca	255,255,255
Coronavirus_5	255,255,255
CortBP2	255,255,255
Cortex-I_coil	255,255,255
Cortexin	255,255,255
Costars	255,255,255
CotE	255,255,255
CotH	180,65,128
CotJA	255,255,255
CotJB	255,255,255
Couple_hipA	65,181,177
CoxIIa	255,255,255
CpXC	255,255,255
CpcD	255,255,255
CpeS	255,255,255
CpeT	255,255,255
Cpn10	88,59,221
Cpn60_TCP1	73,204,119
CppA_C	255,255,255
CppA_N	255,255,255
Cpta_toxin	255,255,255
CpxA_peri	255,255,255
CreA	255,255,255
CreD	255,255,255
Creatinase_N	125,184,70
Creatinase_N_2	101,206,92
Creatininase	216,60,128
Creb_binding	255,255,255
Cren7	255,255,255
CrgA	128,228,87
Crinivirus_P26	255,255,255
Cript	255,255,255
Crisp	255,255,255
Crl	255,255,255
Cro	255,255,255
Crp	151,209,92
Crr6	255,255,255
CrtC	190,88,139
Crust_neuro_H	255,255,255
Crust_neurohorm	255,255,255
Cry1Ac_D5	171,84,184
CryBP1	255,255,255
Cryptochrome_C	255,255,255
Crystall	255,255,255
Crystall_2	255,255,255
Crystall_3	255,255,255
Crystall_4	56,86,223
Crystallin	255,255,255
Csa1	255,255,255
CsbD	184,224,79
Csc2	145,190,48
Csd3_N	64,89,193
Cse1	255,255,255
CsgA	64,214,100
CsgE	255,255,255
CsgF	255,255,255
CsgG	255,255,255
CsiD	255,255,255
CsiV	255,255,255
Csm1	255,255,255
Csm1_B	127,47,189
Csm2_III-A	255,255,255
Csm4_C	108,79,212
CsoS2_M	255,255,255
CsoSCA	255,255,255
CspB_prodomain	56,186,135
CsrA	255,255,255
CssAB	255,255,255
CstA	153,59,192
CstA_5TM	224,155,111
CtIP_N	255,255,255
CtaG_Cox11	255,255,255
Ctf8	255,255,255
Cthe_2159	255,255,255
CtnDOT_TraJ	255,255,255
Ctr	68,211,69
CtsR	255,255,255
CtsR_C	227,80,126
Cu	255,255,255
Cu-binding_MopE	255,255,255
Cu-oxidase	172,188,74
Cu-oxidase_2	183,55,192
Cu-oxidase_3	80,81,179
Cu-oxidase_4	184,50,122
Cu2_monoox_C	55,100,186
Cu2_monooxygen	255,255,255
Cu_amine_oxid	197,95,110
Cu_amine_oxidN1	219,151,89
Cu_amine_oxidN2	97,214,141
Cu_amine_oxidN3	100,62,180
Cu_bind_like	255,255,255
Cucumo_2B	255,255,255
Cucumo_coat	255,255,255
Cucumopine_C	190,74,158
Cul7	255,255,255
Cullin	255,255,255
Cullin_Nedd8	255,255,255
Cullin_binding	186,54,176
Cupin_1	180,66,175
Cupin_2	211,192,74
Cupin_3	221,163,91
Cupin_4	100,90,217
Cupin_5	142,208,95
Cupin_6	152,181,77
Cupin_7	121,57,179
Cupin_8	91,167,190
Cupredoxin_1	54,142,203
Curlin_rpt	255,255,255
Curto_V2	255,255,255
Curto_V3	255,255,255
CusF_Ec	255,255,255
Cut12	255,255,255
Cut8	255,255,255
CutA1	220,167,58
CutC	164,87,203
Cuticle_1	255,255,255
Cuticle_2	255,255,255
Cuticle_3	255,255,255
Cuticle_4	255,255,255
Cutinase	116,200,71
CvfB_WH	186,64,178
CwfJ_C_1	255,255,255
CwfJ_C_2	255,255,255
Cwf_Cwc_15	255,255,255
CwsA	255,255,255
CxxCxxCC	222,135,69
Cyanate_lyase	72,88,181
CybS	255,255,255
Cyc-maltodext_C	255,255,255
Cyc-maltodext_N	255,255,255
Cyclase	140,47,181
Cyclase_polyket	49,187,78
Cyclin	255,255,255
Cyclin_C	255,255,255
Cyclin_C_2	255,255,255
Cyclin_N	255,255,255
Cyclin_N2	255,255,255
Cyclophil_like	255,255,255
Cyclophil_like2	186,223,106
Cyclotide	255,255,255
Cyd_oper_YbgE	255,255,255
Cylicin_N	255,255,255
CymA	255,255,255
Cypo_polyhedrin	255,255,255
CysA_C_terminal	81,132,193
CysG_dimeriser	111,225,67
Cys_Knot_tox	255,255,255
Cys_Met_Meta_PP	142,222,85
Cys_knot	255,255,255
Cys_rich_CPCC	255,255,255
Cys_rich_CPXG	255,255,255
Cys_rich_CWC	255,255,255
Cys_rich_FGFR	255,255,255
Cys_rich_KTR	255,255,255
Cys_rich_VLP	255,255,255
Cystatin	255,255,255
Cyt-b5	149,209,92
CytB6-F_Fe-S	255,255,255
Cyt_b-c1_8	255,255,255
Cyt_bd_oxida_I	64,127,201
Cyt_bd_oxida_II	228,79,211
Cyt_c_ox_IV	172,215,90
CytadhesinP1	255,255,255
Cytadhesin_P30	255,255,255
Cytidylate_kin	85,78,199
Cytidylate_kin2	255,255,255
CytoC_RC	255,255,255
Cyto_heme_lyase	255,255,255
CytochromB561_N	255,255,255
Cytochrom_B558a	255,255,255
Cytochrom_B559	255,255,255
Cytochrom_B559a	255,255,255
Cytochrom_B561	101,152,219
Cytochrom_B562	255,255,255
Cytochrom_B_C	255,255,255
Cytochrom_B_N_2	180,62,222
Cytochrom_C	130,184,61
Cytochrom_C1	255,255,255
Cytochrom_C550	255,255,255
Cytochrom_C552	255,255,255
Cytochrom_CIII	255,255,255
Cytochrom_C_2	255,255,255
Cytochrom_C_asm	209,148,97
Cytochrom_D1	255,255,255
Cytochrom_NNT	255,255,255
Cytochrom_c3_2	255,255,255
Cytochrome-c551	255,255,255
Cytochrome_B	255,255,255
Cytochrome_C554	211,215,101
Cytochrome_C7	255,255,255
Cytochrome_CBB3	49,184,120
Cytochrome_P460	61,220,181
Cytochrome_cB	255,255,255
Cytokin-bind	67,184,162
Cytokin_check_N	255,255,255
Cytomega_TRL10	255,255,255
Cytomega_UL20A	255,255,255
Cytomega_UL84	255,255,255
Cytomega_US3	255,255,255
Cytomega_gL	255,255,255
Cytotoxic	255,255,255
CzcE	255,255,255
D-ser_dehydrat	185,183,55
D123	255,255,255
D27-like_C	221,76,71
D5_N	202,89,142
DA1-like	255,255,255
DAD	255,255,255
DAG1	255,255,255
DAGAT	105,76,223
DAGK_acc	255,255,255
DAGK_cat	92,98,205
DAGK_prokar	54,189,137
DAG_kinase_N	255,255,255
DAHP_snth_FXD	178,46,100
DAHP_synth_1	223,103,208
DAHP_synth_2	126,217,84
DALR_1	90,223,221
DALR_2	70,57,193
DAN	255,255,255
DAO	123,179,59
DAOA	255,255,255
DAO_C	196,60,59
DAP	255,255,255
DAP10	255,255,255
DAP3	255,255,255
DAPDH_C	255,255,255
DAPG_hydrolase	97,87,204
DAP_B	255,255,255
DAP_DH_C	160,93,206
DAP_epimerase	111,196,62
DARPP-32	255,255,255
DASH_Ask1	255,255,255
DASH_Dad1	255,255,255
DASH_Dad2	255,255,255
DASH_Dad3	255,255,255
DASH_Dad4	255,255,255
DASH_Dam1	255,255,255
DASH_Duo1	255,255,255
DASH_Hsk3	255,255,255
DASH_Spc19	255,255,255
DASH_Spc34	255,255,255
DAZAP2	255,255,255
DB	255,255,255
DBB	255,255,255
DBC1	255,255,255
DBD_HTH	178,159,74
DBD_Tnp_Hermes	255,255,255
DBD_Tnp_Mut	105,68,180
DBINO	255,255,255
DBI_PRT	116,80,221
DBP	255,255,255
DBP10CT	255,255,255
DBR1	255,255,255
DCA16	255,255,255
DCAF15_WD40	255,255,255
DCAF17	255,255,255
DCB	255,255,255
DCD	57,73,190
DCP1	255,255,255
DCP2	255,255,255
DCR	255,255,255
DCX	255,255,255
DC_STAMP	255,255,255
DDA1	255,255,255
DDAH_eukar	58,117,196
DDDD	255,255,255
DDE_1	168,57,187
DDE_2	255,255,255
DDE_3	50,81,198
DDE_5	119,52,208
DDE_Tnp_1	229,102,99
DDE_Tnp_1_2	94,207,193
DDE_Tnp_1_3	205,75,164
DDE_Tnp_1_4	187,172,89
DDE_Tnp_1_5	255,255,255
DDE_Tnp_1_6	51,201,77
DDE_Tnp_1_7	255,255,255
DDE_Tnp_1_assoc	95,129,194
DDE_Tnp_2	255,255,255
DDE_Tnp_4	89,93,205
DDE_Tnp_IS1	61,68,205
DDE_Tnp_IS1595	211,88,85
DDE_Tnp_IS240	200,202,77
DDE_Tnp_IS66	189,225,106
DDE_Tnp_IS66_C	179,66,173
DDE_Tnp_ISAZ013	208,208,80
DDE_Tnp_ISL3	227,129,58
DDE_Tnp_Tn3	92,211,195
DDHD	255,255,255
DDOST_48kD	255,255,255
DDR	204,137,51
DDRGK	255,255,255
DDR_swiveling	185,187,73
DDT	255,255,255
DD_K	255,255,255
DEAD	195,100,62
DEAD_2	255,255,255
DEAD_assoc	106,184,217
DEADboxA	255,255,255
DEC-1_C	255,255,255
DEC-1_N	255,255,255
DEC1	255,255,255
DED	255,255,255
DEDD_Tnp_IS110	59,200,207
DEFB136	255,255,255
DEK_C	255,255,255
DELLA	255,255,255
DENN	255,255,255
DEP	255,255,255
DEPP	255,255,255
DER1	255,255,255
DERM	255,255,255
DFF-C	255,255,255
DFF40	255,255,255
DFP	185,72,205
DFRP_C	181,46,54
DGC	255,255,255
DGCR6	255,255,255
DGF-1_4	255,255,255
DGF-1_5	255,255,255
DGF-1_C	255,255,255
DGOK	255,255,255
DHBP_synthase	84,51,187
DHC	255,255,255
DHC_N1	255,255,255
DHC_N2	255,255,255
DHDPS	80,204,82
DHFR_1	150,188,63
DHFR_2	255,255,255
DHH	171,76,182
DHHA1	110,220,187
DHHA2	229,92,78
DHHC	255,255,255
DHHW	255,255,255
DHNA	255,255,255
DHODB_Fe-S_bind	53,107,214
DHOR	255,255,255
DHO_dh	127,188,80
DHOase	255,255,255
DHQS	199,181,86
DHQ_synthase	150,62,180
DHR-2	255,255,255
DHquinase_I	255,255,255
DHquinase_II	130,67,203
DICT	217,106,128
DIE2_ALG10	255,255,255
DIL	255,255,255
DIM	255,255,255
DIM1	255,255,255
DIMCO_N	255,255,255
DIOX_N	122,206,79
DIPSY	255,255,255
DIRP	255,255,255
DIT1_PvcA	213,100,188
DIX	255,255,255
DJ-1_PfpI	66,224,145
DKCLD	255,255,255
DKNYY	255,255,255
DLEU7	255,255,255
DLH	188,185,48
DLIC	255,255,255
DLL_N	255,255,255
DLP_helical	77,187,169
DM	255,255,255
DM13	81,130,208
DM4_12	255,255,255
DMA	255,255,255
DMAP1	255,255,255
DMAP1_like	255,255,255
DMAP_binding	255,255,255
DMP1	255,255,255
DMP12	255,255,255
DMPK_coil	255,255,255
DMRL_synthase	86,187,81
DMRT-like	255,255,255
DMSP_lyase	255,255,255
DMT_6	255,255,255
DMT_YdcZ	63,139,178
DNAJ_related	255,255,255
DNAP_B_exo_N	255,255,255
DNAPolymera_Pol	255,255,255
DNA_III_psi	255,255,255
DNA_PPF	255,255,255
DNA_Packaging	255,255,255
DNA_Packaging_2	255,255,255
DNA_RNApol_7kD	255,255,255
DNA_alkylation	215,156,71
DNA_binding_1	79,155,220
