bgc_id	motif_id	n_training_matches	score_threshold	score	hit_genes
BGC0000242	M0098	170	7.497	7.497	Bac_luciferase,Methyltransf_2
BGC0000242	M0130	110	8.238	8.238	AS-MannoseP_isomer_c2,KR_c12
BGC0000242	M0295	198	5.836	5.836	AS-MannoseP_isomer_c2,Methyltransf_2
BGC0000242	M0762	104	10.679	39.225	AS-tabtoxin_c0,Anthrone_oxy,FAD_binding_3_c21,FAD_binding_3_c40,KR_c6,TENA_THI-4
BGC0000242	M1400	134	33.006	83.494	ABM_c6,AS-MGT_c0,AS-MannoseP_isomer_c2,AS-PP-binding_c28,AS-t2clf_c28,AS-t2clf_c39,AS-tabtoxin_c0,Anthrone_oxy,Cyclase_polyket,FAD_binding_3_c21,FAD_binding_3_c40,KR_c6,Methyltransf_2,NAD_binding_2;NAD_binding_11,Polyketide_cyc
BGC0000242	MG1484_M0032_M2806_M2894	31	-93.284	-74.509	AS-PP-binding_c28,Bac_luciferase,KR_c43,NAD_binding_10,Polyketide_cyc
BGC0000242	MG1523_M1029_M1031	539	14.904	14.904	AS-t2clf_c28,AS-t2clf_c39,Cyclase_polyket
BGC0000242	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000245	M0140	162	6.564	6.724	Lactamase_B,Polyketide_cyc2
BGC0000245	M0377	118	6.266	6.266	NTP_transferase,PfkB
BGC0000245	M0437	179	8.37	8.37	AS-DegT_DnrJ_EryC1_c15,NTP_transferase
BGC0000245	M0496	269	3.814	17.296	AS-Acyl-CoA_dh_N_c7;Acyl-CoA_dh_2,Flavin_Reduct,SnoaL_4
BGC0000245	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000245	M1090	59	10.581	10.581	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000245	M1193	49	7.159	7.159	3HCDH_N;3HCDH,AS-DegT_DnrJ_EryC1_c15
BGC0000245	M2215	689	12.52	18.988	APS_kinase,Acetyltransf_1_c20,PAPS_reduct
BGC0000245	MG1148_M1200_M2213	243	-0.919	14.163	APS_kinase,Acetyltransf_1_c20,PAPS_reduct
BGC0000245	MG1484_M0032_M2806_M2894	31	-93.284	-85.389	AS-t2ks_c40,PfkB,SnoaL_4
BGC0000245	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-43.464	Carboxyl_trans,Lactamase_B
BGC0000245	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000245	MG475_M1088_M1089	204	4.345	4.345	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000247	M0278	101	7.793	7.793	Aldo_ket_red,Polyketide_cyc2
BGC0000247	M0358	99	5.933	5.933	KR_c0,Sugar_tr
BGC0000247	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000247	M0680	56	10.538	10.538	Methyltransf_13;Methyltransf_23;Methyltransf_14,NTP_transferase
BGC0000247	MG1357_M1293_M1551_M1552	336	-9.109	-8.327	AS-adh_short_C2,Sugar_tr,Thioesterase_c35
BGC0000247	MG1484_M0032_M2806_M2894	31	-93.284	-58.017	ABM_c1,AS-PP-binding_c28,AS-t2ks_c40,Aldo_ket_red,Cyclase,SnoaL_4
BGC0000247	MG1887_M0366_M0416	424	-1.537	-1.537	Aldo_ket_red,Sugar_tr
BGC0000247	MG276_M2671_M2745_M2836	43	-20.984	-16.29	AS-AMP-binding_c20,AS-MGT_c0
BGC0000247	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000248	M0140	162	6.564	6.724	Lactamase_B,Polyketide_cyc2
BGC0000248	M0152	196	7.036	7.036	Bac_luciferase,Polyketide_cyc2
BGC0000248	M0450	148	9.458	9.458	Acyl_transf_3,Flavin_Reduct
BGC0000248	M0496	269	3.814	8.699	Flavin_Reduct,SnoaL_4
BGC0000248	M1024	425	7.571	7.571	Bac_luciferase,Flavin_Reduct
BGC0000248	MG1357_M1293_M1551_M1552	336	-9.109	-8.508	Bac_luciferase,Carboxyl_trans,Flavin_Reduct
BGC0000248	MG1484_M0032_M2806_M2894	31	-93.284	-86.776	AS-t2ks_c40,Bac_luciferase,SnoaL_4
BGC0000248	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-43.464	Carboxyl_trans,Lactamase_B
BGC0000252	M0178	127	7.773	7.773	AS-Abhydrolase_6,KR_c25
BGC0000252	M0229	111	10.011	10.011	KR_c12,KR_c25
BGC0000252	M0289	183	6.381	6.381	AS-Abhydrolase_6,DJ-1_PfpI
BGC0000252	MG403_M1476_M1496_M2005	63	-41.918	-27.888	AS-Abhydrolase_6,Peptidase_S15;PepX_C
BGC0000253	M2301	903	7.681	7.681	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000253	MG1484_M0032_M2806_M2894	31	-93.284	-86.984	AS-PP-binding_c28,KR_c28,NAD_binding_10
BGC0000253	MG1523_M1029_M1031	539	14.904	28.083	AS-t2clf_c28,AS-t2clf_c39,Cyclase_polyket,FAD_binding_3_c46,Polyketide_cyc2
BGC0000253	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000253	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-43.393	Carboxyl_trans,KR_c28
BGC0000253	MG534_M1402_M2238_M2261_M2265	1355	2.86	2.86	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000253	MG535_M1110_M1238_M2262_M2266	950	4.177	4.177	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000254	MG1484_M0032_M2806_M2894	31	-93.284	-48.278	ABM_c1,AS-PKS_AT_c24,AS-PP-binding_c28,AS-t2ks_c40,Cyclase,KR_c28,SnoaL_4
BGC0000256	M0098	170	7.497	7.497	Bac_luciferase,Methyltransf_2
BGC0000256	M0295	198	5.836	5.836	AS-MannoseP_isomer_c2,Methyltransf_2
BGC0000256	M0437	179	8.37	8.37	AS-DegT_DnrJ_EryC1_c15,NTP_transferase
BGC0000256	M0762	104	10.679	10.679	AS-tabtoxin_c0,Anthrone_oxy
BGC0000256	M1090	59	10.581	10.581	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000256	M1400	134	33.006	55.255	ABM_c6,AS-MannoseP_isomer_c2,AS-t2clf_c28,AS-t2clf_c39,AS-tabtoxin_c0,Anthrone_oxy,Biotin_carb_N;CPSase_L_D2;Biotin_carb_C,Biotin_lipoyl,Cyclase_polyket,Methyltransf_2,Polyketide_cyc
BGC0000256	MG1523_M1029_M1031	539	14.904	14.904	AS-t2clf_c28,AS-t2clf_c39,Cyclase_polyket
BGC0000256	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000256	MG450_M0751_M2593_M2610	813	7.728	7.728	GDP_Man_Dehyd,NTP_transferase
BGC0000256	MG475_M1088_M1089	204	4.345	4.345	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000256	MG562_M2294_M2380	1678	0.005	11.774	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C,Biotin_lipoyl
BGC0000257	M0646	85	-5.207	43.17	AS-AMP-binding_c38,AS-NAD_binding_4_c44,AS-PF00881_c13,AS-PP-binding_c10;Aminotran_1_2,AS-PPDK_N_c8;PEP-utilizers,AS-fabH_c2,Rieske,Thioesterase_c18
BGC0000257	M2698	104	16.635	26.184	AS-PF00881_c13,AS-PPDK_N_c8;PEP-utilizers,Rieske,Thioesterase_c18
BGC0000258	M1510	44	21.743	57.013	AS-Aminotran_3_c27,AS-PF00881_c24;AS-PF00881_c13,AS-PP-binding_c16;Aminotran_1_2,AS-PPDK_N_c8;PEP-utilizers,NAD_binding_8_c34,Steroid_dh
BGC0000259	M1510	44	21.743	57.365	AS-Acyl-CoA_dh_N_c33;AS-Acyl-CoA_dh_M_c14;AS-Acyl-CoA_dh_1_c45,AS-Aminotran_3_c27,AS-PF00881_c24;AS-PF00881_c13,AS-PP-binding_c16;Aminotran_1_2,AS-PPDK_N_c8;PEP-utilizers,Steroid_dh
BGC0000261	MG1484_M0032_M2806_M2894	31	-93.284	-88.91	AS-PKS_AT_c24,Cyclase
BGC0000261	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000261	MG562_M2294_M2380	1678	0.005	11.774	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C,Biotin_lipoyl
BGC0000262	M0296	192	6.02	6.02	FMN_red,Sugar_tr
BGC0000262	M0437	179	8.37	8.37	AS-DegT_DnrJ_EryC1_c15,NTP_transferase
BGC0000262	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000262	M0932	359	6.485	6.485	Carboxyl_trans,Sugar_tr
BGC0000262	M1090	59	10.581	10.581	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000262	M1091	81	15.217	15.217	AS-DegT_DnrJ_EryC1_c15,AS-dTDP_sugar_isom_c2,Hexose_dehydrat
BGC0000262	M1182	117	7.646	14.024	AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000262	M1279	59	2.264	2.264	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans,Sugar_tr
BGC0000262	M2301	903	7.681	7.681	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000262	MG1423_M1723_M1852	74	-6.585	0.404	AS-DegT_DnrJ_EryC1_c47,Hexose_dehydrat
BGC0000262	MG1484_M0032_M2806_M2894	31	-93.284	-78.301	AS-PKS_AT_c24,FMN_red,KR_c28,SnoaL_4
BGC0000262	MG1488_M0840_M1121	326	18.423	23.636	AS-MGT_c0,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,Hexose_dehydrat
BGC0000262	MG1489_M1416_M1417	369	29.466	47.526	AS-DegT_DnrJ_EryC1_c15,AS-DegT_DnrJ_EryC1_c47,AS-MGT_c0,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,GFO_IDH_MocA_c21,Hexose_dehydrat,NTP_transferase
BGC0000262	MG1490_M0790_M1414	198	24.625	47.271	AS-DegT_DnrJ_EryC1_c47,AS-MGT_c0,AS-dTDP_sugar_isom_c2,AS-t2clf_c28,AS-t2clf_c39,GFO_IDH_MocA_c21,Hexose_dehydrat
BGC0000262	MG1523_M1029_M1031	539	14.904	33.055	AS-t2clf_c28,AS-t2clf_c39,Cyclase_polyket,FAD_binding_3_c18,Polyketide_cyc2,SnoaL_4
BGC0000262	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000262	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-43.393	Carboxyl_trans,KR_c28
BGC0000262	MG450_M0751_M2593_M2610	813	7.728	20.301	AS-MGT_c0,AS-RmlD_sub_bind_c29,GDP_Man_Dehyd,NTP_transferase
BGC0000262	MG475_M1088_M1089	204	4.345	4.345	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000262	MG529_M0703_M1107	217	2.966	13.824	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans,DSBA
BGC0000262	MG534_M1402_M2238_M2261_M2265	1355	2.86	2.86	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000262	MG535_M1110_M1238_M2262_M2266	950	4.177	4.177	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000263	M0437	179	8.37	17.495	AS-DegT_DnrJ_EryC1_c15,FdtA,NTP_transferase
BGC0000263	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000263	M0848	88	9.632	9.632	Methyltransf_23,NTP_transferase
BGC0000263	M1090	59	10.581	10.581	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000263	MG1484_M0032_M2806_M2894	31	-93.284	-85.465	AS-PP-binding_c28,FMN_red,Methyltransf_23
BGC0000263	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000263	MG475_M1088_M1089	204	4.345	4.345	AS-DegT_DnrJ_EryC1_c15,GDP_Man_Dehyd
BGC0000264	M0200	215	4.644	10.363	AS-MannoseP_isomer_c2,Methyltransf_2,PfkB
BGC0000264	M0295	198	5.836	5.836	AS-MannoseP_isomer_c2,Methyltransf_2
BGC0000264	M0455	329	6.559	6.559	PfkB,Sugar_tr
BGC0000264	M0599	418	5.307	5.307	AS-MannoseP_isomer_c2,Sugar_tr
BGC0000264	MG1484_M0032_M2806_M2894	31	-93.284	-65.339	AS-PKS_AT_c24,AS-t2ks_c40,Cyclase,PfkB,Polyketide_cyc
BGC0000266	M0190	114	9.129	9.129	AS-MannoseP_isomer_c2,FAD_binding_4;BBE
BGC0000266	M0235	81	8.815	8.815	AS-MannoseP_isomer_c2,Methyltransf_19
BGC0000266	M0762	104	10.679	35.321	AS-t2clf_c33,AS-tabtoxin_c0,Anthrone_oxy,FAD_binding_3_c21,FAD_binding_3_c35
BGC0000266	M1400	134	33.006	42.235	ABM_c6,AS-MannoseP_isomer_c2,AS-t2clf_c33,AS-t2clf_c39,AS-tabtoxin_c0,Anthrone_oxy,Cyclase_polyket,FAD_binding_3_c21
BGC0000267	M0296	192	6.02	6.02	FMN_red,Sugar_tr
BGC0000267	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000267	M1182	117	7.646	14.024	AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000267	MG1423_M1723_M1852	74	-6.585	0.404	AS-DegT_DnrJ_EryC1_c47,Hexose_dehydrat
BGC0000267	MG1484_M0032_M2806_M2894	31	-93.284	-91.6	AS-PP-binding_c28,FMN_red
BGC0000267	MG1488_M0840_M1121	326	18.423	23.636	AS-MGT_c0,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,Hexose_dehydrat
BGC0000267	MG1489_M1416_M1417	369	29.466	42.76	AS-DegT_DnrJ_EryC1_c47,AS-MGT_c0,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,GFO_IDH_MocA_c21,Hexose_dehydrat,NTP_transferase
BGC0000267	MG1490_M0790_M1414	198	24.625	47.271	AS-DegT_DnrJ_EryC1_c47,AS-MGT_c0,AS-dTDP_sugar_isom_c2,AS-t2clf_c28,AS-t2clf_c39,GFO_IDH_MocA_c21,Hexose_dehydrat
BGC0000267	MG1523_M1029_M1031	539	14.904	35.35	AS-t2clf_c28,AS-t2clf_c39,Cyclase_polyket,FAD_binding_3_c18,FAD_binding_3_c46,Polyketide_cyc2
BGC0000267	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000267	MG450_M0751_M2593_M2610	813	7.728	20.301	AS-MGT_c0,AS-RmlD_sub_bind_c29,GDP_Man_Dehyd,NTP_transferase
BGC0000268	M0296	192	6.02	6.02	FMN_red,Sugar_tr
BGC0000268	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000268	M0932	359	6.485	6.485	Carboxyl_trans,Sugar_tr
BGC0000268	M1182	117	7.646	14.024	AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,NTP_transferase
BGC0000268	M1279	59	2.264	2.264	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans,Sugar_tr
BGC0000268	M2301	903	7.681	7.681	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000268	MG1423_M1723_M1852	74	-6.585	0.404	AS-DegT_DnrJ_EryC1_c47,Hexose_dehydrat
BGC0000268	MG1488_M0840_M1121	326	18.423	23.636	AS-MGT_c0,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,Hexose_dehydrat
BGC0000268	MG1489_M1416_M1417	369	29.466	42.76	AS-DegT_DnrJ_EryC1_c47,AS-MGT_c0,AS-dTDP_sugar_isom_c2,GDP_Man_Dehyd,GFO_IDH_MocA_c21,Hexose_dehydrat,NTP_transferase
BGC0000268	MG1490_M0790_M1414	198	24.625	47.271	AS-DegT_DnrJ_EryC1_c47,AS-MGT_c0,AS-dTDP_sugar_isom_c2,AS-t2clf_c28,AS-t2clf_c39,GFO_IDH_MocA_c21,Hexose_dehydrat
BGC0000268	MG1523_M1029_M1031	539	14.904	20.376	AS-t2clf_c28,AS-t2clf_c39,Cyclase_polyket,Polyketide_cyc2
BGC0000268	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000268	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-26.252	Carboxyl_trans,G6PD_N;G6PD_C,KR_c28,NAD_binding_2;6PGD
BGC0000268	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000268	MG534_M1402_M2238_M2261_M2265	1355	2.86	2.86	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000268	MG535_M1110_M1238_M2262_M2266	950	4.177	4.177	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans
BGC0000269	M0072	87	7.52	7.52	Aldo_ket_red,Lactamase_B
BGC0000269	M0098	170	7.497	7.497	Bac_luciferase,Methyltransf_2
BGC0000269	M0140	162	6.564	12.508	AS-ksIII_c2,Lactamase_B,Polyketide_cyc2
BGC0000269	M0144	100	1.604	4.102	AS-AMP-binding_c13,AS-MannoseP_isomer_c2,Bac_luciferase,Sugar_tr
BGC0000269	M0152	196	7.036	7.036	Bac_luciferase,Polyketide_cyc2
BGC0000269	M0176	123	6.674	6.674	AS-MannoseP_isomer_c2,Polyketide_cyc2
BGC0000269	M0200	215	4.644	10.363	AS-MannoseP_isomer_c2,Methyltransf_2,PfkB
BGC0000269	M0201	135	7.691	7.691	AS-MannoseP_isomer_c2,Aldo_ket_red
BGC0000269	M0246	261	7.117	7.117	Aldo_ket_red,DJ-1_PfpI
BGC0000269	M0278	101	7.793	7.793	Aldo_ket_red,Polyketide_cyc2
BGC0000269	M0295	198	5.836	10.008	AS-AMP-binding_c13,AS-MannoseP_isomer_c2,Methyltransf_2
BGC0000269	M0356	116	7.632	7.632	AS-fabH_c2,Lactamase_B
BGC0000269	M0371	234	6.714	6.714	DJ-1_PfpI,Sugar_tr
BGC0000269	M0377	118	6.266	6.266	NTP_transferase,PfkB
BGC0000269	M0455	329	6.559	6.559	PfkB,Sugar_tr
BGC0000269	M0560	43	7.733	7.733	AS-MGT_c0,GDP_Man_Dehyd
BGC0000269	M0572	195	7.07	7.07	Aldo_ket_red,KR_c28
BGC0000269	M0599	418	5.307	5.307	AS-MannoseP_isomer_c2,Sugar_tr
BGC0000269	M0860	144	8.533	8.533	Aminotran_5,DJ-1_PfpI
BGC0000269	M0932	359	6.485	6.485	Carboxyl_trans,Sugar_tr
BGC0000269	M1068	405	6.422	6.422	Aldo_ket_red,Bac_luciferase
BGC0000269	M1218	388	1.535	1.535	AS-AMP-binding_c48,Sugar_tr
BGC0000269	M1331	254	7.108	7.108	AS-fabH_c2,Aldo_ket_red
BGC0000269	MG1357_M1293_M1551_M1552	336	-9.109	-6.354	AS-fabH_c2,Bac_luciferase,Carboxyl_trans,Sugar_tr
BGC0000269	MG1484_M0032_M2806_M2894	31	-93.284	-53.353	AS-ksIII_c2,AS-t2ks_c40,Aldo_ket_red,Bac_luciferase,KR_c28,KR_c43,PfkB,SnoaL_4
BGC0000269	MG1850_M0505_M0626	1246	4.101	8.888	Aldo_ket_red,Bac_luciferase,Sugar_tr
BGC0000269	MG1887_M0366_M0416	424	-1.537	-1.537	Aldo_ket_red,Sugar_tr
BGC0000269	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-33.163	Aldo_ket_red,Carboxyl_trans,KR_c28,Lactamase_B
BGC0000269	MG450_M0751_M2593_M2610	813	7.728	13.019	AS-MGT_c0,GDP_Man_Dehyd,NTP_transferase
BGC0000270	M0106	72	8.543	8.543	AS-AMP-binding_c38,AS-Abhydrolase_6
BGC0000270	M0186	141	7.038	7.038	AS-Abhydrolase_6,Polyketide_cyc2
BGC0000270	M0247	460	6.231	6.231	AS-Abhydrolase_6,Sugar_tr
BGC0000270	M0296	192	6.02	6.02	FMN_red,Sugar_tr
BGC0000270	M0304	159	6.874	6.874	AS-Abhydrolase_6,FMN_red
BGC0000270	M0327	69	8.846	8.846	FMN_red,Thioesterase_c35
BGC0000270	M0782	991	5.902	5.902	Aldedh,Sugar_tr
BGC0000270	M0932	359	6.485	6.485	Carboxyl_trans,Sugar_tr
BGC0000270	M0971	280	10.077	10.077	AS-AMP-binding_c38,Thioesterase_c35
BGC0000270	MG1357_M1293_M1551_M1552	336	-9.109	-6.84	Aldedh,Carboxyl_trans,Sugar_tr,Thioesterase_c35
BGC0000270	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000270	MG1980_M1827_M1969_M1973_M1974_M1976_M1977	193	-44.001	-43.869	Carboxyl_trans,NUDIX
BGC0000270	MG403_M1476_M1496_M2005	63	-41.918	-29.364	AS-AMP-binding_c38,AS-Abhydrolase_6
BGC0000270	MG450_M0751_M2593_M2610	813	7.728	7.728	GDP_Man_Dehyd,NTP_transferase
BGC0000271	M0295	198	5.836	5.836	AS-MannoseP_isomer_c2,Methyltransf_2
BGC0000271	M2505	231	8.949	11.125	ABM_c6,AS-MannoseP_isomer_c2,AS-t2ks_c40,Cyclase_polyket
BGC0000271	MG1357_M1293_M1551_M1552	336	-9.109	-7.016	AS-PP-binding_c16,Polyketide_cyc
BGC0000271	MG1461_M2573_M2750_M2763_M2780_M2781	1143	27.233	38.936	ABM_c6,AS-MannoseP_isomer_c2,AS-t2ks_c40,Cyclase_polyket,FAD_binding_3_c44,Methyltransf_2,NosD,Polyketide_cyc
BGC0000271	MG1484_M0032_M2806_M2894	31	-93.284	-91.09	AS-t2ks_c40,Polyketide_cyc
BGC0000272	M1834	188	12.01	12.01	AS-t2clf_c26,FAD_binding_3_c44
BGC0000273	MG1484_M0032_M2806_M2894	31	-93.284	-73.692	ABM_c1,Cyclase,Polyketide_cyc,SnoaL_4
BGC0000273	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000274	M0098	170	7.497	7.497	Bac_luciferase,Methyltransf_2
BGC0000274	M0246	261	7.117	7.117	Aldo_ket_red,DJ-1_PfpI
BGC0000274	M0644	155	8.827	8.827	DJ-1_PfpI,NAD_binding_10
BGC0000274	M1057	188	7.04	7.04	Aldedh,Bac_luciferase
BGC0000274	M1068	405	6.422	6.422	Aldo_ket_red,Bac_luciferase
BGC0000274	MG1484_M0032_M2806_M2894	31	-93.284	-64.796	Aldo_ket_red,Bac_luciferase,CoA_transf_3,Cyclase,EHN,NAD_binding_10
BGC0000274	MG830_M1441_M1444_M1450_M1451_M1455	446	3.872	9.591	AS-phzB_c0,AS-thio_amide_c2,Isochorismatase_c21,Methyltransf_2
BGC0000275	M0295	198	5.836	5.836	AS-MannoseP_isomer_c2,Methyltransf_2
BGC0000275	MG1484_M0032_M2806_M2894	31	-93.284	-89.917	AS-PP-binding_c28,AS-t2ks_c40
BGC0000277	M0296	192	6.02	6.02	FMN_red,Sugar_tr
BGC0000278	MG1423_M1723_M1852	74	-6.585	0.404	AS-DegT_DnrJ_EryC1_c47,Hexose_dehydrat
BGC0000279	M0055	27	38.235	43.274	ABM_c6,AS-MannoseP_isomer_c2,AS-adh_short_C2,AS-t2clf_c28,AS-tabtoxin_c0,Anthrone_oxy,Cyclase_polyket,KR_c28,Methyltransf_2,Polyketide_cyc2
BGC0000279	M0098	170	7.497	7.497	Bac_luciferase,Methyltransf_2
BGC0000279	M0129	131	8.358	8.358	AS-adh_short_C2,Bac_luciferase
BGC0000279	M0152	196	7.036	7.036	Bac_luciferase,Polyketide_cyc2
BGC0000279	M0176	123	6.674	6.674	AS-MannoseP_isomer_c2,Polyketide_cyc2
BGC0000279	M0200	215	4.644	10.363	AS-MannoseP_isomer_c2,Methyltransf_2,PfkB
BGC0000279	M0201	135	7.691	7.691	AS-MannoseP_isomer_c2,Aldo_ket_red
BGC0000279	M0278	101	7.793	7.793	Aldo_ket_red,Polyketide_cyc2
BGC0000279	M0295	198	5.836	5.836	AS-MannoseP_isomer_c2,Methyltransf_2
BGC0000279	M0504	198	-4.454	33.006	AdoHcyase,MTHFR,PfkB,S-AdoMet_synt_N;S-AdoMet_synt_M;S-AdoMet_synt_C,S-methyl_trans;Pterin_bind;B12-binding_2;B12-binding_c7;Met_synt_B12
BGC0000279	M0572	195	7.07	7.07	Aldo_ket_red,KR_c28
BGC0000279	M0762	104	10.679	24.749	AS-tabtoxin_c0,Anthrone_oxy,FAD_binding_3_c40,TENA_THI-4
BGC0000279	M0779	70	0.03	5.955	Bac_luciferase,MTHFR
BGC0000279	M1068	405	6.422	6.422	Aldo_ket_red,Bac_luciferase
BGC0000279	M1400	134	33.006	64.543	ABM_c6,AS-MGT_c0,AS-MannoseP_isomer_c2,AS-t2clf_c28,AS-t2clf_c39,AS-tabtoxin_c0,Anthrone_oxy,Biotin_carb_N;CPSase_L_D2;Biotin_carb_C,Biotin_lipoyl,Cu-oxidase_3;Cu-oxidase_2,Cyclase_polyket,FAD_binding_3_c40,Methyltransf_2
BGC0000279	MG1484_M0032_M2806_M2894	31	-93.284	-82.358	Aldo_ket_red,Bac_luciferase,KR_c28,PfkB
BGC0000279	MG1523_M1029_M1031	539	14.904	27.643	AS-t2clf_c28,AS-t2clf_c39,Cyclase_polyket,FAD_binding_3_c18,Polyketide_cyc2
BGC0000279	MG1524_M0073_M0590	631	3.673	12.961	AS-t2clf_c28,AS-t2clf_c39
BGC0000279	MG276_M2671_M2745_M2836	43	-20.984	-16.234	AS-MGT_c0,AS-p450_c27
BGC0000279	MG562_M2294_M2380	1678	0.005	11.774	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C,Biotin_lipoyl
BGC0000282	MG653_M2049_M2655_M2740	1595	-3.707	7.638	FAD_binding_3_c30,ICMT_c7
BGC0000283	M0130	110	8.238	8.238	AS-MannoseP_isomer_c2,KR_c12
BGC0000283	M0190	114	9.129	9.129	AS-MannoseP_isomer_c2,FAD_binding_4;BBE
BGC0000286	MG1069_M1051_M1791	411	7.936	11.877	AS-fabH_c3,HMG-CoA_red
BGC0000286	MG1071_M1270_M1743_M1789	672	-6.161	33.359	AS-fabH_c3,FMN_dh,GHMP_kinases_N;GHMP_kinases_C,GHMP_kinases_N;MDD_C,HMG-CoA_red
BGC0000288	M0173	67	3.974	3.974	AS-APH_c47,Beta-lactamase
BGC0000288	M2090	246	12.839	12.839	Ald_Xan_dh_C;MoCoBD_1,FAD_binding_5;CO_deh_flav_C
BGC0000288	MG1695_M0822_M0868_M0886_M1041_M2096_M2097	1035	-2.539	18.455	Ald_Xan_dh_C;MoCoBD_1,FAD_binding_5;CO_deh_flav_C,Fer2;Fer2_2
BGC0000288	MG450_M0751_M2593_M2610	813	7.728	7.728	GDP_Man_Dehyd,NTP_transferase
